City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Saldanha,ZA,63.37,clear sky,-33.0117,17.9442,Blue Bay Lodge
101,Panaba,MX,67.37,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
105,Tomatlan,MX,71.08,clear sky,19.9333,-105.25,Norma franco
107,Gisborne,NZ,66.99,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
115,Douentza,ML,60.37,clear sky,14.9951,-2.9517,Ogomono Doumbo
120,Wamba,NG,72.61,clear sky,8.9333,8.6,Roma Zee Guest House Annex
121,Vila Franca Do Campo,PT,63.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
123,Hermanus,ZA,61.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
126,Qui Nhon,VN,75.02,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
129,Villa Bruzual,VE,76.06,overcast clouds,9.3328,-69.1208,Edificio Guarente
130,Tabou,CI,78.17,few clouds,4.423,-7.3528,hotêl doufoulougou
133,Villa Carlos Paz,AR,63.0,broken clouds,-31.4241,-64.4978,Monte Carlo
136,Boa Vista,BR,78.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
143,Burnie,AU,62.73,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
148,Banswada,IN,71.71,scattered clouds,18.3833,77.8833,Bc Boys Hostel
150,Naze,JP,62.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
151,Alta Floresta,BR,71.47,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
